"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Link"
"R14","1","100k","","","","Passives:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","  RC0805JR-07100KL",""
"R15","1","8.2k","","","","Passives:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","  CRG0805F8K2",""
"R16","1","10k","","","","Passives:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","  RC0805JR-0710KL",""
"R17","1","44.2k","","","","Passives:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","CRCW080544K2FKEA",""
"R18","1","2k","","","","Passives:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","  RT0805FRE072KL",""
"U1","1","ULN2803A","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf","ULN2803A","ULN2803A"
"U2","1","DS18B20","","","","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","DS18B20-PAR+T&R",""
"U3","1","MP2303ADN","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm","https://www.monolithicpower.com/pub/media/document/MP2303A_r1.1.pdf","  MP2303ADN-LF-Z",""
"U5","1","SN65HVD230","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","SN65HVD230DR",""
"U6","1","ESP32-S3-DEVKITC-1-N16R8V","","","","Modules_Sensors:XCVR_ESP32-S3-DEVKITC-1-N16R8V","","BS-F-1X40-254-S",""
"XF1","1","BK-6013","","","","Semiconductors:FUSE_BK-6013","","BK-6013",""
